skill_name,family_name
Laminated object manufacturing (LOM),3D Printing
Digital Light Processing (DLP),3D Printing
Technical Standard Order (TSO),Aeronautics
Aeronautics,Aeronautics
Aircraft Communications Addressing And Reporting System (ACARS),Aeronautics
Traffic Collision Avoidance System (TCAS),Aeronautics
Distance Measuring Equipment (DME),Aeronautics
Intelligent Flight Control System,Aeronautics
Agile Software Development,Agile
Lean Software Development,Agile
Agile Project Management,Agile
Extreme Programming (XP),Agile
Agile Organization,Agile
Agile Team,Agile
Agile Methods,Agile
Domain Driven Design (DDD),Agile
Backlogs (Product And Sprints),Agile
Squads,Agile
Scaled Agile Framework (SAFe),Agile
Agile Development Practices,Agile
Business Agility,Agile
Rapid Application Development (RAD),Agile
Standup Meeting,Agile
Large Scale Scrum(LeSS),Agile
Lean Services,Agile
Agile Coach,Agile
Agile Leadership,Agile
Agile Testing,Agile
Scrumban,Agile
Scrum Board,Agile
Disciplined Agile Delivery (DAD),Agile
Agile Manifesto,Agile
Iterative and Incremental Development (IID),Agile
Burn Down Chart,Agile
Specification by Example,Agile
Virtual Collaboration,Agile
Emergent Design,Agile
Lean Product Development,Agile
Feature Driven Development (FDD),Agile
Enterprise Scrum,Agile
Agile Architecture,Agile
Rational Unified Process (RUP),Agile
Dynamic System Development Model (DSDM),Agile
Visualization,Arts
Product Design,Arts
Creative Visualization,Arts
Lithography,Arts
Visual Thinking,Arts
Communication Design,Arts
Motion Design,Arts
Product Styling,Arts
Barycentric Celestial Reference System,Astronomy
Mass Distribution,Astronomy
Hydrostatic Equilibrium,Astronomy
Nuclear Astrophysics,Astronomy
Nucleosynthesis,Astronomy
Hydrogen Anion,Astronomy
Amorphous Carbonia,Astronomy
Frame of Reference,Astronomy
Dark Matter,Astronomy
High Energy Density Physics,Astronomy
Orbit Determination,Astronomy
Dynamic Method,Astronomy
Accretion (Astrophysics),Astronomy
Computational Astrophysics,Astronomy
ISO 26262 (Road Vehicles – Functional Safety),Automotive
MISRA,Automotive
Advanced Driver Assistance Systems (ADAS),Automotive
Vehicle Diagnostics,Automotive
Autonomous Driving,Automotive
Body Control Module (BCM),Automotive
Automotive Electronics,Automotive
Electronic Control Unit (ECU),Automotive
Connected Car,Automotive
Powertrain Control Module (PCM),Automotive
Traction Control System (TCS),Automotive
Electric Vehicle,Automotive
Driver Alertness Detection System,Automotive
Electronic Engine Management System (EMS),Automotive
Energy Management,Automotive
Transmission Control Unit (TCU),Automotive
Hybrid Electric Vehicle,Automotive
Central Business District Cycle (CBD),Automotive
Selective Catalytic Reduction,Automotive
Worldwide Harmonised Light Vehicles (WLTP),Automotive
Vehicle Software,Automotive
In-Car Entertainment System,Automotive
Vehicle Active Safety,Automotive
Low Load Cycle (LLC),Automotive
Vehicle Data Recorder (VDR),Automotive
Battery Electric Vehicle,Automotive
Intelligent Light Switch,Automotive
Vehicle Motion Control (VMC),Automotive
Automotive Safety Integrity Level (ASIL),Automotive
AutoSAR,Automotive
Vehicle-Network,Automotive
Supplemental Emissions Test (SET),Automotive
Supercharger Engine,Automotive
Powertrain Engineering,Automotive
Collision Avoidance System,Automotive
Autonomous Cruise Control,Automotive
International Material Data System (IMDS),Automotive
Ambient Light Detector,Automotive
Head-Up Display (HUD),Automotive
Mercedes-Benz Development System (MDS),Automotive
Fuel Supply System,Automotive
Not-To-Exceed (NTE),Automotive
Auxiliary Power Unit (APU),Automotive
European Stationary Cycle (ESC),Automotive
Cooperative Adaptive Cruise Control,Automotive
Electronic Braking System (EBS),Automotive
Electronic Throttle Control (ETC),Automotive
Electronic Stability Program (ESP),Automotive
In-Car-Communication,Automotive
Brake Control System,Automotive
Safety Electronics,Automotive
ISO 26262 - Dependent Failure Analysis (DFA),Automotive
Emergency Brake Assist (EBA),Automotive
Transmission Control Module (TCM),Automotive
Vehicle Passive Safety System,Automotive
Vehicle Dynamics (VED),Automotive
City Suburban Cycle & Route (CSC),Automotive
Car-Net,Automotive
Event Data Recorder (EDR),Automotive
Telematic Control Unit (TCU),Automotive
Crash Detection Sensor,Automotive
Mobile In-Vehicle Applications,Automotive
Automotive Industry Action Group (AIAG),Automotive
Gasline Direct Injection (GDI),Automotive
Diagnostics Trouble Code (DTC),Automotive
Automotive Control Systems,Automotive
Lane Departure Warning (LDW),Automotive
Remote Vehicle Diagnostics,Automotive
Electronic Instrument Cluster,Automotive
Life Science,Biology
Biostatistics,Biology
Genomics,Biology
Bioinformatics,Biology
Medical Science,Biology
Semantics,Biology
Linguistics,Biology
Biomarkers,Biology
Phonology,Biology
Computational Biology,Biology
Polymerase Chain Reaction (PCR),Biology
Molecular Biology,Biology
Biology,Biology
Functional Genomics,Biology
Microbiomics,Biology
