a,b,test2,test,cicids20172,cicids2017,cicddos20192,cicddos2019,fhswfcnl,fhswfcnl2,mean2,mean
int,cart,97.0,0.975,56.99999999999999,0.567,1.0,0.006,0.003,0.0,19.0,0.192
int,idtree,97.0,0.968,48.0,0.479,1.0,0.006,0.005,0.0,16.0,0.163
int,extra,98.0,0.984,56.00000000000001,0.564,1.0,0.006,0.023,2.0,20.0,0.197
int,idforest,97.0,0.974,25.0,0.252,1.0,0.006,0.002,0.0,9.0,0.087
int,xgboost,98.0,0.984,48.0,0.477,1.0,0.006,0.099,10.0,19.0,0.194
ext,cart,94.0,0.945,44.0,0.436,4.0,0.04,0.979,98.0,49.0,0.485
ext,idtree,93.0,0.935,16.0,0.155,0.0,0.002,0.97,97.0,38.0,0.376
ext,extra,96.0,0.956,48.0,0.483,4.0,0.042,0.73,73.0,42.0,0.419
ext,idforest,94.0,0.942,39.0,0.391,1.0,0.009,0.729,73.0,38.0,0.376
ext,xgboost,96.0,0.958,56.00000000000001,0.555,3.0,0.033,0.344,34.0,31.0,0.311
red,cart,90.0,0.903,30.0,0.3,0.0,0.0,0.298,30.0,20.0,0.2
red,idtree,89.0,0.89,40.0,0.399,0.0,0.002,0.317,32.0,24.0,0.239
red,extra,91.0,0.914,52.0,0.52,3.0,0.028,0.781,78.0,44.0,0.443
red,idforest,90.0,0.898,50.0,0.501,3.0,0.029,0.313,31.0,28.000000000000004,0.281
red,xgboost,91.0,0.912,61.0,0.605,4.0,0.04,0.042,4.0,23.0,0.229
rex,cart,93.0,0.927,16.0,0.158,4.0,0.041,0.105,11.0,10.0,0.102
rex,idtree,92.0,0.915,11.0,0.115,2.0,0.015,0.037,4.0,6.0,0.056
rex,extra,94.0,0.938,39.0,0.392,4.0,0.04,0.538,54.0,32.0,0.323
rex,idforest,92.0,0.923,41.0,0.406,1.0,0.01,0.469,47.0,30.0,0.295
rex,xgboost,94.0,0.936,40.0,0.403,4.0,0.042,0.035,4.0,16.0,0.16
